locus_tag	acronym	geneProduct	genePublication
MtrunA17Chr1g0148031	MtAHA8	Plasma membrane proton pump 	PMID:26188545
MtrunA17Chr1g0148141	MtFPF	flowering-promoting factor-like protein	PMID:33631796
MtrunA17Chr1g0148391	MtBG41	"beta-1,3-Glucanase 41"	PMID:30416059
MtrunA17Chr1g0148451	MtMOT1.1	Molybdate transporter	PMID:28805962
MtrunA17Chr1g0148521	MtMOT1.2	Molybdate transporter	PMID:28805962
MtrunA17Chr1g0148581	MtNCR-new2	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr1g0148591	MtNCR518	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0148601	MtNCR519	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0148681	MtCycA2-3	Cyclin A type (rhizobium-induced)	PMID:33228084
MtrunA17Chr1g0148751	MtLb4|MtLb1|MtLb2	 leghemoglobin4	PMID:32003030|PMID:32442331|PMID:1883994
MtrunA17Chr1g0148771	MtGA3ox2	GIBBERELLIN 3-OXIDASE 2|Gibberellin 3-beta-dioxygenase (Gibberellin biosynthesis)	PMID:30976084|PMID:33386852
MtrunA17Chr1g0148791	MtFIE.1	FERTILIZATION-INDEPENDENT ENDOSPERM (Polycomb group PcG protein)	PMID:34299158
MtrunA17Chr1g0148811	MtPDR1b	pleiotropic drug resistance protein 1b (ABC transporter)	PMID:31477892
MtrunA17Chr1g0148841	MtPDR1c	pleiotropic drug resistance protein 1c (ABC transporter)	PMID:31477892
MtrunA17Chr1g0149351	MtEBF1 	EIN3-binding F box protein 1 	PMID:23278348
MtrunA17Chr1g0149471	MtnsLTP68	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr1g0149481	MtnsLTP70	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr1g0149491	MtnsLTP71	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr1g0149581	MtSDG4	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0149611	MtSDG5	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0149621	MtRDN3	ROOT DETERMINED NODULATION 3	PMID:28592666
MtrunA17Chr1g0149651	MtKNOX3	KNOX transcription factor	PMID:26351356
MtrunA17Chr1g0149821	MtCHIT5a	chitinase 5 a	PMID:27383628
MtrunA17Chr1g0149831	MtRRB29	type-B response regulator	PMID:31088345
MtrunA17Chr1g0149841	MtRRB21	type-B response regulator	PMID:31088345
MtrunA17Chr1g0149851	MtRRB22	type-B response regulator	PMID:31088345
MtrunA17Chr1g0150131	MtENODL1|MtPCY59	ENOD-like 1|Plantacyanin/Chemocyanin	PMID:30649463|PMID:29030416
MtrunA17Chr1g0150281	MtSPX	SPX domain-containing protein	PMID:26476189
MtrunA17Chr1g0150511	MtHK6	histidine kinase 6 (no CHASE domain)	PMID:31088345
MtrunA17Chr1g0150531	MtHK7	histidine kinase 7 (no CHASE domain)	PMID:31088345
MtrunA17Chr1g0150721	MtCOPT6	copper transporter	PMID:29349810
MtrunA17Chr1g0150941	MtCKX1	cytokinin oxidase 1	PMID:21304580
MtrunA17Chr1g0151141	MtGalpha1	heteromeric G-protein alpha subunit1	PMID:35095980
MtrunA17Chr1g0151201	LOG-like1	Lonely Guy-like (CK biosynthesis)	
MtrunA17Chr1g0151221	MtCYP711A10|MtMAX1b	Cytochrome P450 monooxygenase|MORE AXILLARY BRANCHES 1	PMID:34576120|PMID:31477892
MtrunA17Chr1g0151431	MtZIP5	Zinc-Iron Permease 5	PMID:28732146
MtrunA17Chr1g0151631	MtHDA1	Histone deacetylase 1	PMID:35161303
MtrunA17Chr1g0151681	MtBELL1-7	BEL-Like homeodomain protein	PMID:33419376
MtrunA17Chr1g0151801	MtVPE	"Chitinase, vacuole processing enzyme"	PMID:27245091
MtrunA17Chr1g0151941	MtMYB064	Myeloblastosis (MYB) transcription factor 64	PMID:31188936
MtrunA17Chr1g0151961	MtKNOX2|MtKNAT1	KNOX transcription factor	PMID:26351356|PMID:33299183
MtrunA17Chr1g0152011	MtMYB065	Myeloblastosis (MYB) transcription factor 65	PMID:31188936
MtrunA17Chr1g0152281	MtPSK4	Phytosulfokine	PMID:29030416
MtrunA17Chr1g0152291	MtPUB1	Plant U-box protein 1  (different from MtPUB1 PMID: 20971894)	PMID:28771553
MtrunA17Chr1g0152401	MtEXO70l	EXOCYST complex component	PMID:26234213
MtrunA17Chr1g0152491	MtHAG1	Histone acetyltransferase of the GNAT family	PMID:35161303
MtrunA17Chr1g0152551	MtD14	 DWARF 14 strigolactone esterase	PMID:31477892
MtrunA17Chr1g0152571	MtBGAL1	beta-galactosidase 1	PMID:34451684
MtrunA17Chr1g0152851	MtGASA1	Gibberellic Acid-Stimulated in Arabidopsis	PMID:29030416
MtrunA17Chr1g0152871	MtCycA3-1	Cyclin A type (rhizobium-induced)	PMID:33228084
MtrunA17Chr1g0152891	MtCLE20	CLAVATA3/EMBRYO-SURROUNDING REGION (CLE) family	PMID:29030416|PMID:28839170
MtrunA17Chr1g0152911	MtPIP3	PAMP-induced Secreted Peptide	PMID:29030416
MtrunA17Chr1g0153171	MtWOX4	wuschel-related homeobox protein 4	PMID:33299183|PMID:33631796
MtrunA17Chr1g0153281	MtREM5.1	remorin 5.1 	PMID:17984200
MtrunA17Chr1g0153371	MtCYP707A18	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0153441	MtVPS11	vacuolar sorting protein 11 (HOPS complex)	PMID:25217511
MtrunA17Chr1g0153551	MtCML1	Calmodulin-like 1	PMID:32992668
MtrunA17Chr1g0153561	MtCML2	Calmodulin-like 2	PMID:32992668
MtrunA17Chr1g0153581	MtCML3 	Calmodulin-like 3	PMID:32992668
MtrunA17Chr1g0153591	MtLegin1	Leginsulin	PMID:29030416
MtrunA17Chr1g0153601	MtCML4	Calmodulin-like 4	PMID:32992668
MtrunA17Chr1g0153681	ORC2	"Origin recognition complex, subunit 2"	
MtrunA17Chr1g0153841	MtCEP12	C-terminally encoded peptide	PMID:29030416
MtrunA17Chr1g0154041	MtVRN1.1	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154071	MtPCY27|MtVRN1.2	Plantacyanin/Chemocyanin|VERNALIZATION1	PMID:29030416|PMID:34299158
MtrunA17Chr1g0154101	MtPCY26|MtVRN1.3	VERNALIZATION1	PMID:29030416|PMID:34299158
MtrunA17Chr1g0154111	MtVRN1.4	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154131	MtPCY28|MtVRN1.5	Plantacyanin/Chemocyanin	PMID:29030416
MtrunA17Chr1g0154151	MtVRN1.6	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154161	MtVRN1.7	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154171	MtVRN1.8	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154191	MtVRN1.9	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154211	MtVRN1.10	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154251	MtVRN1.11	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0154381	MtAOS1|MtCYP74A1	allene oxide synthase 1 (TC101097)|Cytochrome P450 monooxygenase	PMID:17249425|PMID:34576120
MtrunA17Chr1g0154441	MtMATE12	multidrug and toxic compound extrusion family	PMID:25922487|PMID:28052433
MtrunA17Chr1g0154511	MtLYR2	LYK (LysM domain-RLK)-related 2	PMID:16844829
MtrunA17Chr1g0154591	TLP-1	Pathogenesis-related thaumatin superfamily protein|PR5-like	
MtrunA17Chr1g0154731	MtCYP721A40	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0154991	MtBG42	"beta-1,3-Glucanase 42"	PMID:30416059
MtrunA17Chr1g0155221	MtESL6_1|MtESL3.3 	early-responsive to dehydration six-like (Sugar transporter)	PMID:32016431|PMID:31568488
MtrunA17Chr1g0155411	MtDFR2	dihydroflavonol 4-reductase (XP_013466133)	PMID:33222243
MtrunA17Chr1g0155431	MtDFR1	dihydroflavonol 4-reductase (XP_013466134)	PMID:33222243
MtrunA17Chr1g0155611	MtPrx45	peroxidase	PMID:27375649
MtrunA17Chr1g0155681	MtBELL	BEL-Like homeodomain protein	PMID:33419376
MtrunA17Chr1g0155701	MtBGAL2	beta-galactosidase 2	PMID:34451684
MtrunA17Chr1g0155791	MtSTY8|MtSTYL1	SHORT INTERNODES/STYLISH 8|STY-like 1	PMID:32978812|PMID:31543454
MtrunA17Chr1g0155911	MtNRPB2	RNA Pol subunit	
MtrunA17Chr1g0155921	MtHDMA1	Histone demethylase KDM1/LSD1-like	PMID:35161303
MtrunA17Chr1g0156061	MtCYP83D5	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0156081	MtCYP83D4	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0156101	MtCYP83D3	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0156211	MtNodGRP5	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr1g0156601	MtGASA2	Gibberellic Acid-Stimulated in Arabidopsis 2	PMID:29030416
MtrunA17Chr1g0156621	MtGASA3	Gibberellic Acid-Stimulated in Arabidopsis	PMID:29030416
MtrunA17Chr1g0156691	MtCTLA2	Cytotoxic T-Lymphocyte Antigen 2 alpha	PMID:29030416
MtrunA17Chr1g0156811	MtSYT2	synaptotagmin 2	PMID:28265280
MtrunA17Chr1g0156821	MtABAB1	ATP-Binding-Cassette (ABC) transporter typeB (P-glycoprotein (MDR/PGP/ABCB) efflux/conditional auxin transporter)	PMID:26228273
MtrunA17Chr1g0157051	MtPrx55	peroxidase	PMID:27375649
MtrunA17Chr1g0157131	MtCDPK17	calcium-dependent protein kinase17	PMID:30129677
MtrunA17Chr1g0157211	MtGST	GLUTATHIONE S-TRANSFERASE	PMID:25192698
MtrunA17Chr1g0157731	MtMYB107	Myeloblastosis (MYB) transcription factor 107	PMID:31188936
MtrunA17Chr1g0158371	MtNCR522	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0158791	MtFIE.2	FERTILIZATION-INDEPENDENT ENDOSPERM (Polycomb group PcG protein)	PMID:34299158
MtrunA17Chr1g0158861	MtCNGC1a	cyclic nucleotide-gated channel	PMID:27230377
MtrunA17Chr1g0158931	MtSWEET3c|MtSWEET3.3 	sucrose transporter	PMID:27021190|PMID:31568488
MtrunA17Chr1g0158991	MtPt4	phosphate transporter 4 (AY116211)	PMID:12368495
MtrunA17Chr1g0159181	MtNCR498	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0159231	MtNCR523	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0159291	NC2 alpha-4	"NC2 alpha, NF-YC-related"	PMID:22939172
MtrunA17Chr1g0159341	MtPIN6	PIN-FORMED auxin efflux carrier component	PMID:15375694
MtrunA17Chr1g0159361	MtNCR524	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0159431	MtSWEET1a|MtSWEET1.1 	sucrose transporter	PMID:27021190|PMID:31568488
MtrunA17Chr1g0159661	MtNGL9	MADS box protein NGL9	PMID:19500303|PMID:30108597
MtrunA17Chr1g0159991	MtENOD8.3	early nodulin 8	DOI:10.1016/S0168-9452(02)00132-2
MtrunA17Chr1g0160011	MtENOD8.2	early nodulin 8	DOI:10.1016/S0168-9452(02)00132-2
MtrunA17Chr1g0160031	MtENOD8.1	early nodulin 8|AAC26810	PMID:18321186
MtrunA17Chr1g0160151	MtCML5	Calmodulin-like 5	PMID:32992668
MtrunA17Chr1g0160311	MtIDA18	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr1g0160461	MtPIN3	PIN-FORMED auxin efflux carrier component	PMID:15375694
MtrunA17Chr1g0160851	MtCYP76F74	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0161011	MtBG40	"beta-1,3-Glucanase 40"	PMID:30416059
MtrunA17Chr1g0161201	MtnsLTP90	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr1g0161211	MtCML6	Calmodulin-like 6	PMID:32992668
MtrunA17Chr1g0161431	MtRRB7	type-B response regulator	PMID:31088345
MtrunA17Chr1g0161531	MtTPS2	trehalose phosphate synthase 2	PMID:33848573
MtrunA17Chr1g0161571	MtIDA1	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr1g0161581	MtCycSDS-1	Cyclin SDS type	PMID:33228084
MtrunA17Chr1g0161651	MtCYP88D10	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0161654	MtCYP88D11	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0161821	MtIDA2	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr1g0161921	MtCYTb1	cytochrome b561	PMID:27249190
MtrunA17Chr1g0162091	MtNodGRP6	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr1g0162321	MtGAOL1	Gibberellin-oxidase like 1	PMID:30976084
MtrunA17Chr1g0162361	MtGAOL3	Gibberellin-oxidase like 3	PMID:30976084
MtrunA17Chr1g0162411	MtVRN1.12	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0162441	MtVRN1.13	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0162571	MtCYP74C12	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0162801	MtCYP71D437	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0162811	MtCYP71D356	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0162871	MtSPL14	SQUAMOSA Promoter Binding Protein-Like	PMID:31277566
MtrunA17Chr1g0163041	MtSDG6	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0163051	MtSDG7	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0163071	MtVRN1.14	VERNALIZATION1 (PcG-1 Polycomb group protein)	PMID:34299158
MtrunA17Chr1g0163211	MtCYP96J5	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163281	MtCYP96J7	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163351	MtCYP96J8	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163361	MtCYP96J9	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163381	MtKunitz26	Kunitz-P Trypsin Inhibitor	PMID:29030416
MtrunA17Chr1g0163391	MtCYP96J6	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163401	MtCYP96J10	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163421	MtCYP96J11	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163431	MtCYP96J12	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163451	MtCYP96J1	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163461	MtCYP96J2	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163491	MtCYP96J4	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163501	MtCYP96J14	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163511	MtCYP96J15	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0163571	MtAMT2-5	ammonium transporter	PMID:27249190
MtrunA17Chr1g0164211	MtCYP76F73	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0164321	MtCYP86B1-1|MtCYP86B18	Cytochrome P450 monooxygenase	PMID:25922487|PMID:34576120
MtrunA17Chr1g0164341	MtCYP86B1-2	"cytochrome P450, family 86"	PMID:25922487
MtrunA17Chr1g0164351	MtCYP86B19	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0164371	MtCYP707A105	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0164461	MtGT-2	trihelix transcription factor (GT) 2	PMID:33238556
MtrunA17Chr1g0164471	MtNCR381	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0164731	MtJMJ2	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr1g0164741	MtSDG8	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0164761	MtJMJ3	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr1g0164851	MtSTP10_1|MtSTP4.2 	Sugar transport protein	PMID:32016431|PMID:31568488
MtrunA17Chr1g0164871	MtSTP10_2|MtSTP4.3 	Sugar transport protein	PMID:32016431
MtrunA17Chr1g0164881	MtTCP7	"TEOSINTE BRANCHED1 (TB1), CYCLOIDEA (CYC), PROLIFERATING CELL FACTORS 1&2 (PCF1  & 2) family"	PMID:29942322
MtrunA17Chr1g0164891	MtPrx50	peroxidase	PMID:27375649
MtrunA17Chr1g0165001	MtCycJ18	Cyclin J type	PMID:33228084
MtrunA17Chr1g0165041	MtNF-YB10	nuclear factor Y subunit B10	PMID:22939172
MtrunA17Chr1g0165381	MtNCR391	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0165751	MtnsLTP2	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr1g0165761	MtnsLTP3	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr1g0166281	MtCML7	Calmodulin-like 7	PMID:32992668
MtrunA17Chr1g0166401	MtN26-1	Nodulin26	PMID:29030416
MtrunA17Chr1g0166651	MtPHO1.1	Phosphate transporter1.1 (export)	PMID:33631809
MtrunA17Chr1g0166791	MtNPF5.12	NRT1/ PTR FAMILY|nitrate transporter / peptide transporter	PMID:27375649
MtrunA17Chr1g0166851	MtNCR055	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0167291	MtCTLA3	Cytotoxic T-Lymphocyte Antigen 2 alpha	PMID:29030416
MtrunA17Chr1g0167321	MtCYP71D93	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0167511	MtNCR317	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0167531	MtNCR057	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0167601	MtNCR053	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0167631	MtNCR054	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0167661	MtMYB008	Myeloblastosis (MYB) transcription factor 8	PMID:31188936
MtrunA17Chr1g0167691	MtMYB009	Myeloblastosis (MYB) transcription factor 9	PMID:31188936
MtrunA17Chr1g0167731	MtPT3	phosphate transporter	PMID:27375649
MtrunA17Chr1g0167741	MtPT1	phosphate transporter	PMID:27375649
MtrunA17Chr1g0167761	MtPT2	phosphate transporter	PMID:27375649
MtrunA17Chr1g0168161	MtETR3	ethylene receptor-like 3	PMID:31088345
MtrunA17Chr1g0168241	MtIDA26	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr1g0168261	MtNCR393	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0168301	MtCXIP4	CAX-interacting protein 4	PMID:22683509
MtrunA17Chr1g0168661	MtMYB108	Myeloblastosis (MYB) transcription factor 108	PMID:31188936
MtrunA17Chr1g0168921	MtNCR375	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0168951	MtNCR527	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0168981	MtNCR528	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169001	MtNCR529	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169041	MtNCR514	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169111	MtYUC3	YUCCA 3	PMID:31543454
MtrunA17Chr1g0169221	MtNCR226	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169241	MtNCR530	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169581	MtCML8	Calmodulin-like 8	PMID:32992668
MtrunA17Chr1g0169721	MtNCR531	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169911	MtRTFL/DVL_3	Rotundifolia/Devil	PMID:29030416
MtrunA17Chr1g0169921	MtNCR234	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0169931	MtNCR-new3	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr1g0169961	MtHAC1	histone acetyltransferase 1	PMID:35161303
MtrunA17Chr1g0170281	MtCDPK2	calcium-dependent protein kinase2	PMID:30129677
MtrunA17Chr1g0170421	MtRAM2	REQUIRED FOR ARBUSCULAR MYCORHIZATION 2 (Glycerol-3-phosphate acyl-transferase)	PMID:28596311
MtrunA17Chr1g0170651	MtSDG9	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr1g0170691	MtSOD	superoxide dismutase	PMID:25192698
MtrunA17Chr1g0170741	MtRRA1	type-A response regulator	PMID:31088345
MtrunA17Chr1g0170821	MtTPD3	Tapetum Determinant 	PMID:29030416
MtrunA17Chr1g0170831	MtTHL11	Thionin-like	PMID:29030416
MtrunA17Chr1g0170851	MtLb10|MtLb2	 leghemoglobin10	PMID:32003030|PMID:32442331
MtrunA17Chr1g0170871	MtHAG2	Histone acetyltransferase of the GNAT family	PMID:35161303
MtrunA17Chr1g0170991	MtCycD6-3	Cyclin D type	PMID:33228084
MtrunA17Chr1g0171041	MtCYP96J17	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0171381	MtHDMA2	Histone demethylase KDM1/LSD1-like	PMID:35161303
MtrunA17Chr1g0171771	MtNOOT2	NODULE ROOT 2	PMID:30026291
MtrunA17Chr1g0172371	MtNCR392	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0172431	MtNCR496	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0172441	MtNCR-new4	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr1g0172681	MtNCR060	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0173431	MtKunitz2	Kunitz-P Trypsin Inhibitor	PMID:29030416
MtrunA17Chr1g0173541	MtCDPK22	calcium-dependent protein kinase22	PMID:30129677
MtrunA17Chr1g0173791	MtNCR260	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0173861	MtNCR232	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0174031	MtNCR535	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0174321	MtPhyCys4	Phytocystatin	PMID:29030416
MtrunA17Chr1g0174441	MtCYP93A71	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0174451	MtCYP93A72	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0174461	MtCYP93A73	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0174481	MtCYP93A74	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr1g0174561	MtNCR509	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0174571	MtNCR507	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0174621	MtNCR259	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0174951	MtNCR038	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0174961	MtNCR039	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0175021	MtSPL15B	SQUAMOSA Promoter Binding Protein-Like (duplicated in Mt5.0)	PMID:31277566
MtrunA17Chr1g0175221	MtNCR533	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr1g0175241	MtNCR490	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
